,업종코드,기준년월,성별,연령대별,카드이용금액계,카드이용건수계,대분류,중분류,소분류
465,SS039,201601,M,70대이상,684080,15,여행/교통,여행,면세점
466,SS015,201709,F,40대,130780,5,유통,할인점/슈퍼마켓,생활잡화
467,SS015,201705,F,60대,2515,20,유통,할인점/슈퍼마켓,생활잡화
468,SS015,202107,F,20대,384544,15,유통,할인점/슈퍼마켓,생활잡화
469,SS015,201905,M,50대,211260,30,유통,할인점/슈퍼마켓,생활잡화
470,SS015,202004,M,30대,3596450,5,유통,할인점/슈퍼마켓,생활잡화
471,SS015,201606,M,60대,2766500,10,유통,할인점/슈퍼마켓,생활잡화
472,SS015,201904,M,60대,154421,65,유통,할인점/슈퍼마켓,생활잡화
473,SS015,201604,F,60대,520404,5,유통,할인점/슈퍼마켓,생활잡화
474,SS015,201610,M,60대,2101031,15,유통,할인점/슈퍼마켓,생활잡화
475,SS015,201910,F,70대이상,130780,126,유통,할인점/슈퍼마켓,생활잡화
476,SS015,202012,M,40대,115690,5,유통,할인점/슈퍼마켓,생활잡화
477,SS015,202007,M,20대,729853,5,유통,할인점/슈퍼마켓,생활잡화
478,SS062,201909,F,30대,952682,60,가전/가구,가전/가구,기타가전/가구
479,SS062,201905,M,70대이상,65390,171,가전/가구,가전/가구,기타가전/가구
480,SS062,202003,F,40대,462307,5,가전/가구,가전/가구,기타가전/가구
481,SS062,201711,M,50대,1183056,96,가전/가구,가전/가구,기타가전/가구
482,SS056,201606,M,10대,123235,35,의료,병원,치과병원
483,SS056,202012,M,30대,1059570,15,의료,병원,치과병원
484,SS028,202104,M,60대,1021694,40,스포츠/문화/레저,스포츠/문화/레저,영화/공연
485,SS028,201803,M,20대,819387,5,스포츠/문화/레저,스포츠/문화/레저,영화/공연
486,SS028,202012,F,70대이상,37725,5,스포츠/문화/레저,스포츠/문화/레저,영화/공연
487,SS033,201606,F,70대이상,2539647,15,스포츠/문화/레저,스포츠/문화/레저용품,문화용품
488,SS052,201901,M,40대,295613,15,교육/학원,유아교육,유아교육
489,SS052,201810,M,20대,221320,10,교육/학원,유아교육,유아교육
490,SS093,201909,F,50대,50300,10,교육/학원,학원,취미/전문학원
491,SS060,201801,M,30대,617433,10,가전/가구,가전/가구,가전
492,SS060,201704,F,30대,7545,25,가전/가구,가전/가구,가전
493,SS036,201809,M,30대,4754909,15,여행/교통,숙박,모텔/여관/기타숙박
494,SS045,202106,M,50대,291740,10,가정생활/서비스,서비스,세탁소
495,SS045,201901,M,60대,330974,5,가정생활/서비스,서비스,세탁소
496,SS042,201608,F,70대이상,534538,10,미용,미용서비스,미용서비스
497,SS091,201601,M,30대,79977,60,교육/학원,학원,외국어학원
498,SS081,201902,F,20대,279718,65,스포츠/문화/레저,스포츠/문화/레저,실내골프
499,SS092,202004,M,40대,4395969,75,교육/학원,학원,예체능학원
