날짜,금액,소분류,업종코드,대분류,중분류
2023.4.4,-49200,온라인거래,ss068,전자상거래,전자상거래
2023.4.3,-11200,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.4.3,-5000,온라인거래,ss068,전자상거래,전자상거래
2023.4.3,-1000,생활잡화,ss015,유통,할인점/슈퍼마켓
2023.4.2,-2000,백화점,ss012,유통,백화점
2023.4.2,-560,생활서비스,ss044,가정생활/서비스,서비스
2023.4.2,-7184,온라인거래,ss068,전자상거래,전자상거래
2023.4.2,-125400,교통,ss040,여행/교통,교통
2023.4.2,-122400,결제대행(PG),ss069,전자상거래,전자상거래
2023.3.31,-13100,교통,ss040,여행/교통,교통
2023.3.31,-4990,온라인거래,ss068,전자상거래,전자상거래
2023.3.30,-17000,교통,ss040,여행/교통,교통
2023.3.30,-16890,온라인거래,ss068,전자상거래,전자상거래
2023.3.29,-30000,생활잡화,ss015,유통,할인점/슈퍼마켓
2023.3.29,-5000,생활잡화,ss015,유통,할인점/슈퍼마켓
2023.3.28,-48500,온라인거래,ss068,전자상거래,전자상거래
2023.3.28,-5000,생활잡화,ss015,유통,할인점/슈퍼마켓
2023.3.27,-29800,온라인거래,ss068,전자상거래,전자상거래
2023.3.27,-3100,여행사,ss037,여행/교통,여행
2023.3.27,-5751,여행사,ss037,여행/교통,여행
2023.3.27,-8249,여행사,ss037,여행/교통,여행
2023.3.27,-3000,교통,ss040,여행/교통,교통
2023.3.26,-10000,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.3.26,-1700,편의점,ss016,유통,편의점
2023.3.25,-34250,온라인거래,ss068,전자상거래,전자상거래
2023.3.24,-34000,한식,ss001,요식/유흥,한식
2023.3.24,-19400,온라인거래,ss068,전자상거래,전자상거래
2023.3.23,-9500,한식,ss001,요식/유흥,한식
2023.3.19,-11800,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.3.19,-33762,호텔/콘도,ss035,여행/교통,숙박
2023.3.18,-2000,교통,ss040,여행/교통,교통
2023.3.18,-2600,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.3.18,-2000,교통,ss040,여행/교통,교통
2023.3.18,-26600,화장품,ss043,미용,화장품
2023.3.18,-10000,결제대행(PG),ss069,전자상거래,전자상거래
2023.3.17,-3000,취미/오락,ss030,스포츠/문화/레저,스포츠/문화/레저
2023.3.17,-47700,슈퍼마켓,ss014,유통,할인점/슈퍼마켓
2023.3.15,-7500,일식,ss002,요식/유흥,일식/중식/양식
2023.3.15,-6000,일식,ss002,요식/유흥,일식/중식/양식
2023.3.15,-20000,온라인거래,ss068,전자상거래,전자상거래
2023.3.15,-25000,화장품,ss043,미용,화장품
2023.3.15,-23350,온라인거래,ss068,전자상거래,전자상거래
2023.3.14,-10000,화장품,ss043,미용,화장품
2023.3.13,-9500,한식,ss001,요식/유흥,한식
2023.3.11,-4000,화장품,ss043,미용,화장품
2023.3.11,-3000,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.3.10,-1500,생활잡화,ss015,유통,할인점/슈퍼마켓
2023.3.9,-28900,중식,ss004,요식/유흥,일식/중식/양식
2023.3.8,-3000,편의점,ss016,유통,편의점
2023.3.8,-3200,슈퍼마켓,ss014,유통,할인점/슈퍼마켓
2023.3.8,-65640,온라인거래,ss068,전자상거래,전자상거래
2023.3.7,17900,교통,ss040,여행/교통,교통
2023.3.7,-23000,교통,ss040,여행/교통,교통
2023.3.5,26700,교통,ss040,여행/교통,교통
2023.3.5,-17900,교통,ss040,여행/교통,교통
2023.3.5,-17900,결제대행(PG),ss069,전자상거래,전자상거래
2023.3.4,-192939,호텔/콘도,ss035,여행/교통,숙박
2023.3.4,-177030,항공,ss038,여행/교통,여행
2023.3.4,-385100,항공,ss038,여행/교통,여행
2023.3.4,-9145,항공,ss038,여행/교통,여행
2023.3.4,-249905,항공,ss038,여행/교통,여행
2023.3.4,-26700,교통,ss040,여행/교통,교통
2023.3.4,-26342,결제대행(PG),ss069,전자상거래,전자상거래
2023.3.4,-25800,교통,ss040,여행/교통,교통
2023.3.3,-5500,슈퍼마켓,ss014,유통,할인점/슈퍼마켓
2023.3.2,-30000,스포츠시설,ss029,스포츠/문화/레저,스포츠/문화/레저
2023.2.28,-12500,한식,ss001,요식/유흥,한식
2023.2.28,-6000,취미/오락,ss030,스포츠/문화/레저,스포츠/문화/레저
