날짜,금액,소분류,업종코드,대분류,중분류
2023.9.15,-9000,한식,ss001,요식/유흥,한식
2023.9.15,-5400,교통,ss040,여행/교통,교통
2023.9.14,-8500,일식,ss002,요식/유흥,일식/중식/양식
2023.9.14,17900,교통,ss040,여행/교통,교통
2023.9.14,-1350,교통,ss040,여행/교통,교통
2023.9.13,-5000,온라인거래,ss068,전자상거래,전자상거래
2023.9.13,-186000,결제대행(PG),ss069,전자상거래,전자상거래
2023.9.13,-9000,한식,ss001,요식/유흥,한식
2023.9.13,-5300,교통,ss040,여행/교통,교통
2023.9.12,-52000,일식,ss002,요식/유흥,일식/중식/양식
2023.9.12,-9000,한식,ss001,요식/유흥,한식
2023.9.12,-1300,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.9.12,-1350,교통,ss040,여행/교통,교통
2023.9.11,-8500,한식,ss001,요식/유흥,한식
2023.9.11,-1800,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.9.11,-1500,교통,ss040,여행/교통,교통
2023.9.11,-4050,교통,ss040,여행/교통,교통
2023.9.11,-4300,생활서비스,ss044,가정생활/서비스,서비스
2023.9.11,-17490,통신,ss048,가정생활/서비스,각종요금
2023.9.10,-32500,일식,ss002,요식/유흥,일식/중식/양식
2023.9.10,-28000,교통,ss040,여행/교통,교통
2023.9.9,-4000,한식,ss001,요식/유흥,한식
2023.9.9,-12500,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.9.9,-3850,교통,ss040,여행/교통,교통
2023.9.9,-1200,교통,ss040,여행/교통,교통
2023.9.8,-6600,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.9.8,-1000,생활잡화,ss015,유통,할인점/슈퍼마켓
2023.9.8,-8000,한식,ss001,요식/유흥,한식
2023.9.8,-13800,온라인거래,ss068,전자상거래,전자상거래
2023.9.8,-1200,교통,ss040,여행/교통,교통
2023.9.8,-4050,교통,ss040,여행/교통,교통
2023.9.7,-3220,슈퍼마켓,ss014,유통,할인점/슈퍼마켓
2023.9.7,-3500,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.9.7,-7100,패스트푸드,ss007,요식/유흥,제과/커피/패스트푸드
2023.9.7,-20000,온라인거래,ss068,전자상거래,전자상거래
