name,category,benefits
NH농협 올바른MYPICK 카드,"['커피전문점', '교통', '한식/일식/중식/양식', '편의점', '쇼핑', '문화', '주유소', '레저', '자동차서비스', '종합병원/일반병원/치과병원/한의원/약국/기타의료', '화장품', '영화/공연', '프리미엄', '금융', '포인트/캐시백']","['[기본서비스]전세계스타벅스/국내 카페 5%청구할인[FOOD PACK]베이커리 5% 청구할인', '[기본서비스]전국 택시, 교통 5% 청구할인', '[FOOD PACK]전세계 음식점 5% 청구할인', '[FOOD PACK]편의점 5% 청구할인', '[기본서비스]해외 전가맹점 5% 청구할인[SHOPPING PACK]온/오프라인 쇼핑 5% 청구할인[SHOPPING PACK]국내 면세점 5% 청구할인', '[SHOPPING PACK]전국 서점 5% 청구할인[HEALTH&BEAUTY PACK]스포츠 경기,공연 예매 5% 청구할인', '[TRAVEL PACK]전국주유소소/LPG충전소 5% 청구할인', '[TRAVEL PACK]국내외 여행/숙박 예약 5% 청구할인', '[TRAVEL PACK]스피드메이트 엔진오일 교환시 현장할인', '[MEDI PACK]전국 병원, 동물병원 5% 청구할인전국 약국 5% 청구할인한삼인, 종합병원/일반병원/치과병원/한의원/약국/기타의료기 판매점 5% 청구할인', '[HEALTH&BEAUTY PACK]미용/H&B 스토어 5% 청구할인헬스클럽/필라테스/요가골프연습장/수영장 5% 청구할인', '[HEALTH&BEAUTY PACK]영화/공연 5% 청구할인', '국제 공항 라운지 무료이용', '전자금융 수수료 면제', '이용감사 보너스 포인트 제공']"
I-PET카드,"['반려동물', '쇼핑', '커피전문점', '할인점/슈퍼마켓', '편의점']","['동물병원, 반려동물 관련업종30%할인', '쇼핑', '커피 10% 할인', '이마트,롯데마트,홈플러스 5% 할인', 'GS25,CU,세븐일레븐 5% 할인']"
zgm.play카드,"['쇼핑', '문화', '통신', '레저', '교통', '영화/공연', '커피전문점', '한식/일식/중식/양식', '화장품', '편의점']","['인앱결제 10% 청구할인올리브영 5% 청구할인쿠팡, 티몬 5% 청구할인', 'PC게임 충전 결제 10% 청구할인PC게임방 10% 청구할인온라인서점 5% 청구할인오프라인서점 5% 청구할인', '이동통신요금 10% 청구할인', '피트니스업종 10% 청구할인놀이공원 현장할인', '교통 10% 청구할인', 'CGV,롯데시네마,메가박스 청구할인', '스타벅스,투썸플레이스,커피빈 청구할인', '패스트푸드업종 20% 청구할인', '미용실 5% 청구할인', 'CU/GS25 5% 청구할인']"
NH농협 위 레아카드(포인트),"['포인트/캐시백', '바우처', '프리미엄']","['기본 적립 : 국내 1%, 해외 2%추가 적립 : 국내 특별 가맹점 2%보너스 포인트 적립(연 1회)', '프리미엄 바우처 서비스 연 1회 제공', '전세계 공항 라운지 무료 이용']"
NH농협 올바른지구카드,"['교통', '통신', '쇼핑', '레저', '화장품', '커피전문점', '편의점']","['버스/지하철/택시/철도 7% 청구할인공유모빌리티 7% 청구할인전기차 충전 7% 청구할인', '이동통신요금 5% 청구할인 (월1건)', '오픈마켓/배달앱 5% 청구할인', '스포츠 매장 5% 청구할인', 'H&B매장 5% 청구할인', '커피전문점 2,000원 청구할인', '편의점 1,000원 청구할인 ']"
KB국민 Easy Pick카드,"['연회비지원', '할인점/슈퍼마켓', '주유소', '쇼핑', '한식/일식/중식/양식', '문화', '편의점', '자동차서비스', '커피전문점', '교통', '통신']","['온라인신규신청 연회비 100% 캐시백홈페이지 내 신용카드 최초 발급 시', '할인점/슈퍼마켓 이용 시 5% 적립이마트, 롯데마트, 홈플러스 등', '이용 시 5% 적립주유소소 및 충전소(LPG) 업종', '홈쇼핑, 백화점, 소셜커머스 5%적립인터넷쇼핑몰 최대10%,마켓컬리 5%', '배달앱 이용 시 5% 적립', '온라인서점 이용 시 5% 적립교보문고, YES24 등', '편의점 업종 이용 시 5% 적립GS25, CU 등', '이용 시 5% 적립차량정비 및 차량 서비스업종', '스타벅스,커피빈 등 커피업종 5%적립제과,아이스크림 업종 5% 적립', '이용 시 5% 적립교통(버스, 지하철), 택시', '이동통신요금 5% 적립SKT, KT, LGU+ 등']"
원더카드 T  ,"['통신', '할인점/슈퍼마켓', '교통']","['SKT통신요금 20% 적립T멤버십 바코드 결제 20% 적립', '대형 마트 10% 하나머니 적립', '교통 10% 하나머니 적립']"
NH농협 올바른BAZIC 카드,"['언제나할인', '프리미엄']","['할인한도 없이 0.7~1.2% 할인', '국제공항 라운지 무료이용']"
LG U+ X LOCA,['통신'],['LG U+ 통신비 최대 2만원 할인']
알뜰교통 우리카드,"['교통', '생활서비스', '렌탈', '교육', '금융', '할인점/슈퍼마켓', '커피전문점', '통신', '결제대행(PG)', '레저']","['버스, 지하철 10% 청구할인', '공과금 자동납부 10% 청구할인', '렌탈비 자동납부 10% 청구할인', '학습지 자동납부 10% 청구할인', '보험료 자동납부 10% 청구할인', '대형할인점업종 최대 2천원 청구할인', '스타벅스 10% 청구할인', '통신비 자동납부 10% 청구할인', '페이코포인트 1% 적립', '주요 놀이공원 자유이용권50%현장할인']"
